Zip,City,State,Latitude,Longitude,Latitude Radians,Longitude Radians,Timezone,Daylight savings time flag,geopoint
98184,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98190,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98195,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98138,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98060,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98111,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98150,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98130,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98191,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98185,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98181,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98129,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98114,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98124,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98161,Seattle,WA,47.432251,-121.803388,0.827848952,-2.125870161,-8,1,"47.432251, -121.803388"
98178,Seattle,WA,47.497971,-122.24664,0.828995982,-2.133606368,-8,1,"47.497971, -122.24664"
98118,Seattle,WA,47.543348,-122.27496,0.82978796,-2.134100645,-8,1,"47.543348, -122.27496"
98188,Seattle,WA,47.450321,-122.27472,0.828164333,-2.134096456,-8,1,"47.450321, -122.27472"
98155,Seattle,WA,47.753019,-122.30373,0.833447409,-2.134602776,-8,1,"47.753019, -122.30373"
98112,Seattle,WA,47.629653,-122.29752,0.831294266,-2.134494391,-8,1,"47.629653, -122.29752"
98115,Seattle,WA,47.68382,-122.30122,0.832239659,-2.134558968,-8,1,"47.68382, -122.30122"
98125,Seattle,WA,47.716648,-122.30308,0.832812616,-2.134591431,-8,1,"47.716648, -122.30308"
