API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
INTL.4418-1-BHR-QBTU.A,        Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009854,0.00001952,0.000019512,0.000029148,1.71288E-05,1.71738E-05,0.00008559,0.000083871,0.000083088,0.000082917
INTL.4418-1-BGD-QBTU.A,        Bangladesh,0.0064925,0.005466919,0.006920548,0.00696424,0.00936468,0.007720333,0.0047007,0.005334528,0.006896432,0.009503552,0.00910175,0.00866188,0.008149496,0.006206018,0.008655124,0.006228448,0.00756888,0.007271656,0.008728632,0.00843645,0.009568538,0.010167672,0.010752861,0.01131975,0.012199488,0.012858714,0.013757653,0.007551376,0.009489402,0.00459696,0.008351136,0.009539169,0.00780312,0.010380608,0.00734172,0.007073121,0.010967616,0.011249073
INTL.4418-1-BRB-QBTU.A,        Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019512,0.000029148,0.000028548,0.000038164,0.0000951,0.000130466,0.00027696,0.00027639
INTL.4418-1-BLR-QBTU.A,        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0.000175814,0.000195871,0.000196004,0.00020624,0.00016544,0.000214473,0.000285516,0.000194294,0.000275427,0.00030999,0.000284844,0.0002835,0.000340544,0.000659934,0.001279551,0.001225616,0.001033165,0.001924255,0.002842123,0.002650291,0.003216264,0.003850457,0.003824368,0.003037994,0.00387744,0.007204566
INTL.4418-1-BEL-QBTU.A,        Belgium,0.005806892,0.006825809,0.006000596,0.00567028,0.00591948,0.00605926,0.008273232,0.009752184,0.009560024,0.009555712,0.010329186,0.010863876,0.012575872,0.011690406,0.012729944,0.014292432,0.01337996,0.012347517,0.0142758,0.015870752,0.018433207,0.021254981,0.021108975,0.0198045,0.024078464,0.027627237,0.037969932,0.044705332,0.054501835,0.080465888,0.095548057,0.113370307,0.133257352,0.149040114,0.155432586,0.169365199,0.175845936,0.15745017
INTL.4418-1-BLZ-QBTU.A,        Belize,0.00041552,0.00041812,0.00041816,0.0004208,0.0004176,0.00041788,0.00041784,0.00041676,0.00041296,0.00041728,0.00041608,0.00041744,0.00041368,0.00041236,0.00041264,0.00082496,0.001034,0.001103004,0.001070685,0.00117599,0.00112211,0.001095298,0.001068165,0.000779625,0.000811296,0.000829917,0.001944124,0.00192738,0.002158026,0.00198128,0.003335576,0.00330344,0.00290238,0.003234399,0.00339507,0.003373478,0.003517392,0.003620709
INTL.4418-1-BEN-QBTU.A,        Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00002068,0.000020426,0.000020394,0.000020452,0.000020402,0.000020666,0.000020346,0.00002025,0.000010016,0.000009999,0.000049595,0.000039536,0.000039416,0.00001952,0.000019512,0.000019432,0.000019032,0.000028623,0.00002853,0.000065233,9.32432E-05,5.61993E-05
INTL.4418-1-BMU-QBTU.A,        Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4418-1-BTN-QBTU.A,        Bhutan,0.000062328,0.000073171,0.000083632,0.00008416,0.00008352,0.000083576,0.0031338,0.012169392,0.015785396,0.015950528,0.016029482,0.016248852,0.016588568,0.016535636,0.017103928,0.01768508,0.01914968,0.01858766,0.018181251,0.018222732,0.018280192,0.019849693,0.022156794,0.02533275,0.023327264,0.02619738,0.044377606,0.064186696,0.067903914,0.06761728,0.070784658,0.067775901,0.064192081,0.07185995,0.068003157,0.072063827,0.072757392,0.070497876
INTL.4418-1-BOL-QBTU.A,        Bolivia,0.01158262,0.012188198,0.01270161,0.01260296,0.0126846,0.012358801,0.01216959,0.012127716,0.013379904,0.01340512,0.013231344,0.014693888,0.014251276,0.014473836,0.014246396,0.01356028,0.01542728,0.016391865,0.015784956,0.018682902,0.020473407,0.022339946,0.022736655,0.020462625,0.021864928,0.020007999,0.021772205,0.023306472,0.023491936,0.02336544,0.022233924,0.023765336,0.024210885,0.027188273,0.025047795,0.02736123,0.0217096,0.023502363
