API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
INTL.4701-34-BGD-BDOLPPP.A,        Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,144.81,148.525,158.404,163.691,171.942,179.798,187.152,196.366,205.446,214.67,225.783,236.328,248.838,261.472,271.494,284.362,299.261,318.821,340.092,364.098,385.994,405.468,428.059,455.731,485.451,514.644,545.837,581.604,622.977,668.355,720.913,779.687
INTL.4701-34-BRB-BDOLPPP.A,        Barbados,NA,NA,NA,NA,NA,NA,NA,NA,4.16667,4.31672,4.17427,4.01092,3.73077,3.77636,3.91928,3.99858,4.15717,4.35423,4.5171,4.53182,4.73362,4.62156,4.65812,4.75926,4.82621,5.01757,5.302,5.39554,5.45494,5.06477,4.94746,4.9146,4.90247,4.8312,4.83193,4.95,5.07979,5.11216,5.09149,5.08461
INTL.4701-34-BLR-BDOLPPP.A,        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,9.15896,8.49664,66.0711,59.1917,60.8498,67.7863,73.4811,75.9798,80.3867,84.1851,88.4324,94.6609,105.499,115.459,127.003,137.985,152.127,152.375,164.213,173.667,176.667,178.373,181.204,174.29,169.886,174.069,179.633,181.769
INTL.4701-34-BEL-BDOLPPP.A,        Belgium,258.0742,258.4517,259.952,260.9848,266.4712,271.3938,276.4236,282.9839,295.904,306.6098,316.0838,321.7754,326.0601,323.8017,334.4601,344.6383,349.1782,362.4247,369.5385,382.6271,396.8776,401.214,408.061,412.296,427.016,436.952,448.108,464.563,466.633,457.215,470.312,478.279,481.816,484.029,491.668,501.663,509.079,518.771,526.488,533.884
INTL.4701-34-BLZ-BDOLPPP.A,        Belize,NA,NA,NA,NA,NA,NA,NA,NA,0.801851,0.925927,1.02888,1.14728,1.28545,1.36599,1.36909,1.37808,1.3976,1.44764,1.50155,1.63346,1.84613,1.93266,2.02407,2.213,2.31895,2.36421,2.47814,2.49079,2.57766,2.58331,2.66086,2.712,2.77746,2.81362,2.91591,2.999,3.00155,3.05769,3.12125,3.1298
INTL.4701-34-BEN-BDOLPPP.A,        Benin,NA,NA,NA,NA,NA,NA,NA,NA,7.28481,7.07688,7.71212,8.03801,8.27576,8.75875,8.93571,9.47589,9.88565,10.4526,10.8666,11.447,12.1178,12.7637,13.3566,13.8166,14.4286,14.6755,15.2548,16.168,16.9586,17.3536,17.7198,18.2448,19.1236,20.4985,21.8005,22.2574,23.1399,24.4908,26.1704,27.8819
INTL.4701-34-BMU-BDOLPPP.A,        Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,4.35873,4.36418,4.2487,4.25981,4.1437,4.24409,4.31116,4.5438,4.71985,4.93723,5.13027,5.30417,5.46243,5.85689,5.77033,5.96714,6.10784,6.21011,6.49615,6.71183,6.78828,6.38461,6.22371,5.93707,5.69167,5.57306,5.55152,5.57577,5.56964,5.7095,5.68606,5.82226
INTL.4701-34-BTN-BDOLPPP.A,        Bhutan,0.464889,0.529544,0.547622,0.609562,0.636883,0.663708,0.741564,0.954365,1.00196,1.07644,1.19351,1.18865,1.24333,1.26803,1.33082,1.42496,1.50426,1.5851,1.67884,1.81288,1.93857,2.10042,2.3313,2.51368,2.66473,2.85891,3.05903,3.62069,3.79446,4.05053,4.5344,4.89636,5.14698,5.25609,5.55971,5.929,6.41085,6.70907,6.9122,7.15963
INTL.4701-34-BOL-BDOLPPP.A,        Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,24.9788,25.9255,27.1273,28.556,29.0262,30.2654,31.678,33.16,34.6062,36.3206,38.1473,38.3102,39.2709,39.9322,40.9247,42.0343,43.7885,45.7246,47.918,50.1052,53.1859,54.9714,57.2399,60.2187,63.3032,67.6054,71.297,74.76,77.9477,81.2178,84.6481,86.5245
INTL.4701-34-BIH-BDOLPPP.A,        Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,7.09877,6.94392,7.71692,9.32203,14.3745,19.6415,22.9052,25.1957,26.5815,27.2194,28.6076,29.7233,31.5959,32.8281,34.7978,36.9553,39.0617,37.707,37.5813,38.2468,38.315,39.0422,39.2967,40.922,42.2948,43.5704,45.0045,46.1897
INTL.4701-34-BWA-BDOLPPP.A,        Botswana,NA,NA,NA,NA,NA,NA,NA,NA,9.62962,10.8872,11.6246,12.4916,12.856,13.1023,13.5777,14.4502,15.2383,16.4,16.4681,18.0449,18.2904,18.2922,19.4331,20.918,21.483,22.4654,24.3636,26.3742,28.0152,25.8632,28.0771,29.7747,31.101,34.6313,36.0632,35.444,36.9649,38.0334,39.7315,40.915
