"","WTI","BRENT","ARAB_LIGHT","RIGS","FUEL_CONS","USA_OIL"
"353",53.49,66.78,68.93,802,65.38933135,6.921788
"354",58.2,67.52,68.93,790,66.679821042,7.1311
"355",58.53,64.07,68.93,782,65.897059177,7.167311
"356",55.07,61.04,62.47,760,64.2523236,7.168599
"357",54.09,60.99,62.47,726,66.525869056,7.292507
"358",54.02,59.3,63.05,708,67.65521503,7.348335
"359",58.12,64.5,65.48,678,68.539202463,7.388598
"360",61.14,67.77,65.56,673,68.558846353,7.360576
"361",51.58,57.77,51.55,671,69.692274831,7.298946
"362",44.83,51.31,52.48,678,68.29518349,7.327776
"363",20.51,14.85,24.14,663,68.269186367,7.437338
"364",19.23,18.11,22.3,471,66.229312024,7.367632
"365",35.57,34.15,31.84,267,66.664741111,7.316165
"366",35.49,36.74,31.84,196,66.444431968,7.346955
