State,year,Consumption,Production,Population
Virginia,1976,1443835,1189016,5122
Virginia,1975,1358994,1059319,5047
Virginia,1974,1382349,1001866,4971
Virginia,1973,1435071,1016281,4901
Virginia,1972,1375396,1008832,4824
Virginia,1971,1322363,907281,4751
Virginia,1970,1279028,1025855,4659
Virginia,1969,1237230,1031540,4614
Virginia,1968,1197529,1066326,4558
Virginia,1967,1137190,1058430,4508
Virginia,1966,1116959,1030130,4456
Virginia,1965,1046094,987837,4411
Virginia,1964,969280,920711,4357
Virginia,1963,939691,890108,4276
Virginia,1962,883702,864865,4180
Virginia,1961,854600,887666,4095
Virginia,1960,851297,824357,3986
Vermont,2018,139153,41498,624
Vermont,2017,134598,37830,624
Vermont,2016,135650,35570,624
Vermont,2015,140924,38785,625
Vermont,2014,140498,85760,625
Vermont,2013,137698,83953,626
Vermont,2012,129759,78592,626
Vermont,2011,151927,81906,627
Vermont,2010,156046,82406,626
Vermont,2009,156687,87639,625
Vermont,2008,146384,78193,624
Vermont,2007,154815,67990,623
Vermont,2006,157716,80881,623
Vermont,2005,161183,66815,621
Vermont,2004,162653,62271,620
Vermont,2003,152335,70371,618
Vermont,2002,149732,64091,615
Vermont,2001,148858,60900,612
Vermont,2000,148507,68821,610
Vermont,1999,135030,63218,605
Vermont,1998,137295,55515,600
Vermont,1997,145799,64725,597
Vermont,1996,141121,61766,594
Vermont,1995,134056,59708,589
Vermont,1994,136875,64174,584
Vermont,1993,137459,53659,578
Vermont,1992,139627,55119,573
Vermont,1991,133727,60381,569
Vermont,1990,127389,57751,565
Vermont,1989,142529,58189,558
Vermont,1988,144630,65319,550
Vermont,1987,137510,60059,540
Vermont,1986,128263,45647,534
Vermont,1985,134538,58749,530
Vermont,1984,132837,62206,527
Vermont,1983,123272,57852,523
Vermont,1982,115117,68888,519
Vermont,1981,120672,64187,516
Vermont,1980,125793,55378,513
Vermont,1979,131782,59861,505
Vermont,1978,134455,55961,498
Vermont,1977,129325,57470,492
Vermont,1976,131790,55339,485
Vermont,1975,114356,55580,480
Vermont,1974,116837,43842,473
Vermont,1973,126434,34570,468
Vermont,1972,123917,17783,463
Vermont,1971,116968,14594,454
Vermont,1970,113222,14717,446
Vermont,1969,106584,16109,437
Vermont,1968,100490,15086,430
Vermont,1967,94557,15167,423
Vermont,1966,90907,15557,413
Vermont,1965,83090,14396,404
Vermont,1964,72070,13500,399
Vermont,1963,74605,13995,397
Vermont,1962,74781,15682,393
Vermont,1961,71941,15369,390
Vermont,1960,68554,17339,389
Washington,2018,2078665,1040182,7524
Washington,2017,2098407,1035962,7423
Washington,2016,2073987,1031321,7295
Washington,2015,2010043,957649,7164
Washington,2014,2021491,1040270,7055
Washington,2013,2045738,1016446,6964
Washington,2012,2047699,1117642,6897
Washington,2011,2069381,1113818,6822
Washington,2010,2042332,918772,6743
Washington,2009,2031913,902225,6667
Washington,2008,2041957,979117,6562
Washington,2007,2049915,969899,6462
Washington,2006,2084283,1065862,6371
Washington,2005,1977992,976432,6257
Washington,2004,1943206,1001254,6179
Washington,2003,1880775,1006268,6104
Washington,2002,1876320,1073718,6052
Washington,2001,2029311,817353,5986
Washington,2000,2248093,1065124,5911
Washington,1999,2316864,1209409,5843
Washington,1998,2229278,1047355,5770
Washington,1997,2149761,1295763,5675
Washington,1996,2117819,1239919,5570
Washington,1995,2141400,1093387,5481
Washington,1994,2094429,921648,5375
Washington,1993,2105459,941503,5279
Washington,1992,2105928,945935,5161
Washington,1991,2072434,1134146,5026
Washington,1990,2078810,1146162,4903
Washington,1989,2013009,1002024,4746
Washington,1988,1947742,983317,4640
Washington,1987,1810437,980603,4532
Washington,1986,1758552,1107104,4453
Washington,1985,1724684,1074995,4400
Washington,1984,1724697,1102341,4344
Washington,1983,1624956,1106258,4300
Washington,1982,1667861,1115936,4277
Washington,1981,1762291,1172097,4236
Washington,1980,1636820,1057170,4155
Washington,1979,1667784,1022098,4018
Washington,1978,1616207,1123772,3889
Washington,1977,1524554,901856,3776
Washington,1976,1506955,1144321,3694
Washington,1975,1458166,1032431,3621
Washington,1974,1494231,1033339,3550
Washington,1973,1498556,884538,3479
Washington,1972,1462402,928962,3448
Washington,1971,1320979,863413,3448
Washington,1970,1294145,825416,3413
Washington,1969,1296162,814247,3343
Washington,1968,1210234,783235,3270
Washington,1967,1112762,702293,3174
Washington,1966,1058961,629703,3057
Washington,1965,996454,582426,2967
Washington,1964,961435,558451,2961
Washington,1963,900608,517358,2955
Washington,1962,860062,480508,2942
Washington,1961,823383,458873,2882
Washington,1960,807277,431849,2855
Wisconsin,2018,1885867,330300,5807
Wisconsin,2017,1805873,317656,5790
Wisconsin,2016,1793846,325624,5773
Wisconsin,2015,1810005,323004,5761
Wisconsin,2014,1887219,313741,5752
Wisconsin,2013,1828730,326776,5737
Wisconsin,2012,1733338,347808,5720
Wisconsin,2011,1792973,328829,5705
Wisconsin,2010,1808486,347716,5690
Wisconsin,2009,1764011,304492,5669
Wisconsin,2008,1895115,305536,5641
Wisconsin,2007,1902606,285446,5611
Wisconsin,2006,1867717,272282,5578
Wisconsin,2005,1959178,248416,5546
Wisconsin,2004,1892938,232712,5514
Wisconsin,2003,1868851,242769,5479
Wisconsin,2002,1894796,231538,5445
Wisconsin,2001,1853342,242017,5407
Wisconsin,2000,1878161,233384,5374
Wisconsin,1999,1846061,234332,5333
Wisconsin,1998,1751166,206741,5298
Wisconsin,1997,1771900,164284,5266
Wisconsin,1996,1764573,230164,5230
Wisconsin,1995,1698063,226815,5185
Wisconsin,1994,1633388,227126,5134
Wisconsin,1993,1587872,225024,5085
Wisconsin,1992,1524771,226270,5025
Wisconsin,1991,1527215,223493,4964
Wisconsin,1990,1485607,221357,4905
Wisconsin,1989,1516589,238459,4857
Wisconsin,1988,1510125,278706,4822
Wisconsin,1987,1404089,270951,4778
Wisconsin,1986,1425551,280195,4756
Wisconsin,1985,1501130,334387,4748
Wisconsin,1984,1487632,331981,4736
Wisconsin,1983,1419851,319059,4721
Wisconsin,1982,1404352,309127,4729
Wisconsin,1981,1421297,303842,4726
Wisconsin,1980,1463980,295424,4712
Wisconsin,1979,1468966,206051,4683
Wisconsin,1978,1501615,218985,4646
Wisconsin,1977,1437713,192382,4627
Wisconsin,1976,1372938,188020,4596
Wisconsin,1975,1341892,179422,4579
Wisconsin,1974,1341660,157765,4546
Wisconsin,1973,1354483,132712,4524
Wisconsin,1972,1287689,101193,4502
Wisconsin,1971,1293197,99388,4462
Wisconsin,1970,1289050,60038,4429
Wisconsin,1969,1248392,62804,4378
Wisconsin,1968,1184174,65830,4345
Wisconsin,1967,1137123,61003,4303
Wisconsin,1966,1091996,60892,4274
Wisconsin,1965,1030533,61690,4232
Wisconsin,1964,974857,54980,4165
Wisconsin,1963,940067,55114,4112
Wisconsin,1962,917963,61695,4049
Wisconsin,1961,877011,60619,4009
Wisconsin,1960,854308,64968,3962
West Virginia,2018,832915,4769811,1804
West Virginia,2017,752850,4322572,1817
West Virginia,2016,761973,3791776,1831
West Virginia,2015,768613,4113828,1842
West Virginia,2014,781210,4214048,1849
West Virginia,2013,751371,3803176,1854
West Virginia,2012,730734,3721479,1857
West Virginia,2011,738121,3823330,1856
West Virginia,2010,751360,3703823,1854
West Virginia,2009,706207,3734228,1848
West Virginia,2008,776230,4189250,1840
West Virginia,2007,789826,4155555,1834
West Virginia,2006,760309,4106187,1828
West Virginia,2005,737053,4136737,1820
West Virginia,2004,734849,3976804,1816
West Virginia,2003,711812,3765398,1812
West Virginia,2002,755537,4047229,1805
West Virginia,2001,730824,4329720,1801
West Virginia,2000,736985,4338635,1807
West Virginia,1999,717412,4241685,1812
West Virginia,1998,734560,4639865,1816
West Virginia,1997,707259,4684923,1819
West Virginia,1996,709037,4614515,1823
West Virginia,1995,736422,4456954,1824
West Virginia,1994,734061,4445565,1820
West Virginia,1993,707438,3612655,1818
West Virginia,1992,684688,4489890,1806
West Virginia,1991,671304,4648097,1799
West Virginia,1990,701782,4686846,1793
West Virginia,1989,748561,4242353,1807
West Virginia,1988,726602,4051030,1830
West Virginia,1987,681320,3792112,1858
West Virginia,1986,668345,3600706,1882
West Virginia,1985,665396,3555894,1907
West Virginia,1984,717840,3625025,1928
West Virginia,1983,681588,3195062,1945
West Virginia,1982,713139,3558750,1950
West Virginia,1981,769650,3159567,1954
West Virginia,1980,788175,3325735,1951
West Virginia,1979,823762,3106159,1942
West Virginia,1978,807744,2354997,1923
West Virginia,1977,819747,2633238,1908
West Virginia,1976,826694,2980217,1880
West Virginia,1975,790365,2980325,1842
West Virginia,1974,841728,2867988,1815
West Virginia,1973,845774,3239496,1806
West Virginia,1972,828980,3404368,1798
West Virginia,1971,779534,3289049,1771
West Virginia,1970,795739,3957243,1751
West Virginia,1969,796648,3829279,1746
West Virginia,1968,807461,3945737,1763
West Virginia,1967,739838,4117089,1769
West Virginia,1966,771519,4014816,1775
West Virginia,1965,753923,3998878,1786
West Virginia,1964,729022,3797359,1797
West Virginia,1963,689629,3576962,1796
West Virginia,1962,656276,3227964,1809
West Virginia,1961,648667,3091618,1828
West Virginia,1960,617977,3237173,1853
Wyoming,2018,558595,7717867,578
Wyoming,2017,537178,7794250,579
Wyoming,2016,506363,7518311,584
Wyoming,2015,507953,9080625,586
Wyoming,2014,537553,9358077,583
Wyoming,2013,540265,9232385,582
Wyoming,2012,551167,9603015,576
Wyoming,2011,558021,10343396,567
Wyoming,2010,541755,10528476,564
Wyoming,2009,524122,10328914,560
Wyoming,2008,538378,10879840,546
Wyoming,2007,523639,10411137,535
Wyoming,2006,478077,10057248,523
Wyoming,2005,456838,9151117,514
Wyoming,2004,450646,8996981,509
Wyoming,2003,461215,8585257,503
Wyoming,2002,438549,8443561,500
Wyoming,2001,438258,8294511,495
Wyoming,2000,427792,7491338,494
Wyoming,1999,425120,7303724,492
Wyoming,1998,420795,6874447,491
Wyoming,1997,414705,6171318,489
Wyoming,1996,415040,6037209,488
Wyoming,1995,403151,5795313,485
Wyoming,1994,407936,5356492,480
Wyoming,1993,406877,4871978,473
Wyoming,1992,421423,4815970,466
Wyoming,1991,388124,4823659,459
Wyoming,1990,399316,4663386,454
Wyoming,1989,382037,4360348,458
Wyoming,1988,370702,4109892,465
Wyoming,1987,363821,3787108,477
Wyoming,1986,335938,3552797,496
Wyoming,1985,357215,3688366,500
Wyoming,1984,351234,3598162,505
Wyoming,1983,329172,3162298,510
Wyoming,1982,363372,3040723,506
Wyoming,1981,352782,3039593,492
Wyoming,1980,362253,2898594,474
Wyoming,1979,378316,2468902,454
Wyoming,1978,354799,2202890,433
Wyoming,1977,325289,1969343,413
Wyoming,1976,300312,1693022,397
Wyoming,1975,277367,1556530,382
Wyoming,1974,278884,1566653,366
Wyoming,1973,283506,1507285,354
Wyoming,1972,286867,1430515,347
Wyoming,1971,268453,1427777,340
Wyoming,1970,255480,1437083,334
Wyoming,1969,250536,1322895,329
Wyoming,1968,225588,1185934,324
Wyoming,1967,205150,1124612,322
Wyoming,1966,180286,1120427,323
Wyoming,1965,172698,1127065,332
Wyoming,1964,163391,1123419,339
Wyoming,1963,163153,1130652,336
Wyoming,1962,173407,1068029,333
Wyoming,1961,154474,1087917,337
Wyoming,1960,141355,1018229,331
